dist_id,city,district,city_title,dist_title,area_sqm,urban_15_34,rural_15_34,total_15_34,dense_15_34
VNM.27.25_1,HàNội,TâyHồ,ThànhPhố,Quận,26972541.296901092,45277.0,0.0,45277.0,1679.0
VNM.27.28_1,HàNội,ThanhTrì,ThànhPhố,Huyện,63335872.61378285,4595.0,81207.0,85802.0,1355.0
VNM.27.2_1,HàNội,BắcTừLiêm,ThànhPhố,Quận,42523814.693651035,141407.0,0.0,141407.0,3325.0
VNM.27.22_1,HàNội,QuốcOai,ThànhPhố,Huyện,150966493.73310608,4286.0,54993.0,59279.0,393.0
VNM.26.4_1,HàGiang,HàGiang,Tỉnh,ThànhPhố,134794554.6430061,12030.0,3900.0,15930.0,118.0
VNM.26.6_1,HàGiang,MèoVạc,Tỉnh,Huyện,561587153.0564052,2274.0,25914.0,28188.0,50.0
VNM.4.6_1,BắcKạn,NgânSơn,Tỉnh,Huyện,645859343.5424881,1796.0,7357.0,9153.0,14.0
VNM.60.7_1,TuyênQuang,YênSơn,Tỉnh,Huyện,1132776201.2045646,932.0,50804.0,51736.0,46.0
VNM.60.5_1,TuyênQuang,SơnDương,Tỉnh,Huyện,787070841.7727791,3421.0,48007.0,51428.0,65.0
VNM.20.9_1,ĐiệnBiên,MườngLay,Tỉnh,ThịXã,115986268.88033582,1618.0,1460.0,3078.0,27.0
VNM.63.4_1,YênBái,TrạmTấu,Tỉnh,Huyện,743261882.0377444,864.0,10794.0,11658.0,16.0
VNM.35.6_1,LạngSơn,HữuLũng,Tỉnh,Huyện,807742044.6944888,2418.0,32636.0,35054.0,43.0
VNM.49.7_1,QuảngNinh,HạLong,Tỉnh,ThànhPhố,209501716.10114017,72948.0,0.0,72948.0,348.0
VNM.49.12_1,QuảngNinh,TiênYên,Tỉnh,Huyện,652856836.1785438,1886.0,15060.0,16946.0,26.0
VNM.49.6_1,QuảngNinh,ĐôngTriều,Tỉnh,ThịXã,395899146.9781299,18887.0,28587.0,47474.0,120.0
VNM.3.9_1,BắcGiang,YênDũng,Tỉnh,Huyện,191919561.42521936,4258.0,41242.0,45500.0,237.0
VNM.44.3_1,PhúThọ,HạHoà,Tỉnh,Huyện,342702162.2289531,1893.0,23508.0,25401.0,74.0
VNM.5.1_1,BắcNinh,BắcNinh,Tỉnh,ThànhPhố,82559312.71400948,71771.0,25012.0,96783.0,1172.0
VNM.22.6_1,HảiDương,KimThành,Tỉnh,Huyện,114751668.9367155,1694.0,36708.0,38402.0,335.0
VNM.28.3_1,HàNam,KimBảng,Tỉnh,Huyện,176547207.5195842,2746.0,32660.0,35406.0,201.0
VNM.40.5_1,NamĐịnh,NamTrực,Tỉnh,Huyện,164756620.7758552,5270.0,42345.0,47615.0,289.0
VNM.41.12_1,NghệAn,QuếPhong,Tỉnh,Huyện,1883742830.1347542,892.0,24121.0,25013.0,13.0
VNM.41.4_1,NghệAn,DiễnChâu,Tỉnh,Huyện,303204187.8755633,2009.0,94522.0,96531.0,318.0
VNM.29.4_1,HàTĩnh,HồngLĩnh,Tỉnh,ThịXã,60155834.01596489,8334.0,1021.0,9355.0,156.0
VNM.50.6_1,QuảngTrị,HảiLăng,Tỉnh,Huyện,423782297.7983941,744.0,17493.0,18237.0,43.0
VNM.47.3_1,QuảngNam,ĐiệnBàn,Tỉnh,ThịXã,217245346.93284467,31515.0,37976.0,69491.0,320.0
VNM.47.9_1,QuảngNam,NamTràMy,Tỉnh,Huyện,827733175.5306371,0.0,11605.0,11605.0,14.0
VNM.48.13_1,QuảngNgãi,TràBồng,Tỉnh,Huyện,422731142.46151763,1865.0,8346.0,10211.0,24.0
VNM.8.3_1,BìnhĐịnh,HoàiÂn,Tỉnh,Huyện,750065012.675124,1812.0,21025.0,22837.0,30.0
VNM.34.4_1,KonTum,IaH'Drai,Tỉnh,Huyện,1161013482.4299345,0.0,4589.0,4589.0,4.0
VNM.21.13_1,GiaLai,KôngChro,Tỉnh,Huyện,1443621329.763924,3315.0,14471.0,17786.0,12.0
VNM.21.7_1,GiaLai,ĐứcCơ,Tỉnh,Huyện,718533161.8029335,3721.0,20916.0,24637.0,34.0
VNM.21.6_1,GiaLai,ChưSê,Tỉnh,Huyện,643742028.9499131,8702.0,31169.0,39871.0,62.0
VNM.15.11_1,ĐắkLắk,KrôngNăng,Tỉnh,Huyện,609286814.3743744,3720.0,37221.0,40941.0,67.0
VNM.10.7_1,BìnhPhước,ĐồngXoài,Tỉnh,ThịXã,167497403.2854104,27518.0,9768.0,37286.0,223.0
VNM.10.10_1,BìnhPhước,PhúRiềng,Tỉnh,Huyện,667330752.115943,0.0,28438.0,28438.0,43.0
VNM.53.3_1,TâyNinh,DươngMinhChâu,Tỉnh,Huyện,434281042.38915753,1736.0,35368.0,37104.0,85.0
VNM.53.1_1,TâyNinh,BếnCầu,Tỉnh,Huyện,237086118.55653816,2799.0,19630.0,22429.0,95.0
VNM.17.4_1,ĐồngNai,LongKhánh,Tỉnh,ThịXã,191614966.47586957,17339.0,30439.0,47778.0,249.0
VNM.17.5_1,ĐồngNai,LongThành,Tỉnh,Huyện,430323311.6939285,9054.0,76885.0,85939.0,200.0
VNM.17.11_1,ĐồngNai,XuânLộc,Tỉnh,Huyện,723072758.7258708,5301.0,67713.0,73014.0,101.0
VNM.25.22_1,HồChíMinh,TânBình,ThànhPhố,Quận,22434957.91684297,195400.0,0.0,195400.0,8710.0
VNM.25.8_1,HồChíMinh,NhàBè,ThànhPhố,Huyện,100481352.99720415,14351.0,62281.0,76632.0,763.0
VNM.58.11_1,TiềnGiang,TânPhước,Tỉnh,Huyện,334045287.9174466,872.0,19072.0,19944.0,60.0
VNM.61.8_1,VĩnhLong,VũngLiêm,Tỉnh,Huyện,308801824.9755479,1657.0,28999.0,30656.0,99.0
VNM.33.11_1,KiênGiang,PhúQuốc,Tỉnh,Huyện,581220280.8820788,29089.0,28396.0,57485.0,99.0
VNM.24.4_1,HậuGiang,LongMỹ,Tỉnh,Huyện,261100639.2009785,0.0,20865.0,20865.0,80.0
VNM.13.3_1,CàMau,ĐầmDơi,Tỉnh,Huyện,816105241.8584771,3248.0,50702.0,53950.0,66.0
VNM.36.2_1,LaiChâu,MườngTè,Tỉnh,Huyện,2677276688.002032,2114.0,14053.0,16167.0,6.0
VNM.23.12_1,HảiPhòng,NgôQuyền,ThànhPhố,Quận,10975820.50408959,45017.0,0.0,45017.0,4101.0
VNM.33.8_1,KiênGiang,HònĐất,Tỉnh,Huyện,1035964203.8415681,8523.0,39656.0,48179.0,47.0
VNM.27.9_1,HàNội,ĐôngAnh,ThànhPhố,Huyện,185794347.2234685,6168.0,124755.0,130923.0,705.0
VNM.63.5_1,YênBái,TrấnYên,Tỉnh,Huyện,628042811.5959574,1294.0,23258.0,24552.0,39.0
VNM.38.8_1,LàoCai,SiMaCai,Tỉnh,Huyện,231886461.33695313,0.0,13820.0,13820.0,60.0
VNM.39.1_1,LongAn,BếnLức,Tỉnh,Huyện,287635321.623783,9508.0,49197.0,58705.0,204.0
VNM.45.6_1,PhúYên,SôngHinh,Tỉnh,Huyện,895156038.5952642,3351.0,13440.0,16791.0,19.0
VNM.3.6_1,BắcGiang,SơnĐộng,Tỉnh,Huyện,860629799.9070109,2886.0,20196.0,23082.0,27.0
VNM.50.4_1,QuảngTrị,ĐôngHà,Tỉnh,ThànhPhố,72906678.10746543,26611.0,0.0,26611.0,365.0
VNM.14.4_1,CaoBằng,HạLang,Tỉnh,Huyện,458701443.7323152,1055.0,7218.0,8273.0,18.0
VNM.29.12_1,HàTĩnh,ThạchHà,Tỉnh,Huyện,352721982.14037347,2719.0,35992.0,38711.0,110.0
VNM.43.4_1,NinhThuận,NinhSơn,Tỉnh,Huyện,773396241.2133693,3089.0,18236.0,21325.0,28.0
VNM.10.5_1,BìnhPhước,ChơnThành,Tỉnh,Huyện,385665282.2977602,5987.0,26084.0,32071.0,83.0
VNM.20.1_1,ĐiệnBiên,ĐiệnBiênĐông,Tỉnh,Huyện,1198856611.1606011,1457.0,23723.0,25180.0,21.0
VNM.36.3_1,LaiChâu,NậmNhùn,Tỉnh,Huyện,1394738752.0210721,1178.0,8087.0,9265.0,7.0
VNM.23.13_1,HảiPhòng,ThuỷNguyên,ThànhPhố,Huyện,261637920.73195785,4605.0,96241.0,100846.0,385.0
VNM.56.9_1,TháiNguyên,VõNhai,Tỉnh,Huyện,839537297.3532004,925.0,18754.0,19679.0,23.0
VNM.60.3_1,TuyênQuang,LâmBình,Tỉnh,Huyện,785814373.8947026,0.0,9354.0,9354.0,12.0
VNM.22.11_1,HảiDương,ThanhHà,Tỉnh,Huyện,159513596.91873047,2038.0,41524.0,43562.0,273.0
VNM.35.10_1,LạngSơn,VănLãng,Tỉnh,Huyện,564790476.4576627,1031.0,14248.0,15279.0,27.0
VNM.42.4_1,NinhBình,NhoQuan,Tỉnh,Huyện,451450619.10147333,2315.0,38325.0,40640.0,90.0
VNM.41.13_1,NghệAn,QuỳChâu,Tỉnh,Huyện,1057943007.7772852,1316.0,17300.0,18616.0,18.0
VNM.48.14_1,QuảngNgãi,TưNghĩa,Tỉnh,Huyện,208100765.59831345,4718.0,31657.0,36375.0,175.0
VNM.1.7_1,AnGiang,PhúTân,Tỉnh,Huyện,312199586.9558942,7698.0,39886.0,47584.0,152.0
VNM.18.4_1,ĐồngTháp,HồngNgự,Tỉnh,ThịXã,122300805.1759052,12385.0,9583.0,21968.0,180.0
VNM.29.7_1,HàTĩnh,HươngSơn,Tỉnh,Huyện,1096185676.9701102,3099.0,22100.0,25199.0,23.0
VNM.8.2_1,BìnhĐịnh,AnNhơn,Tỉnh,ThịXã,244870926.78500682,19881.0,25712.0,45593.0,186.0
VNM.35.9_1,LạngSơn,TràngĐịnh,Tỉnh,Huyện,1016494711.6841037,1185.0,16331.0,17516.0,17.0
VNM.62.3_1,VĩnhPhúc,PhúcYên,Tỉnh,ThànhPhố,118155739.54864171,26714.0,7447.0,34161.0,289.0
VNM.43.1_1,NinhThuận,Bácái,Tỉnh,Huyện,1029680000.8286877,0.0,11076.0,11076.0,11.0
VNM.27.17_1,HàNội,MỹĐức,ThànhPhố,Huyện,225382110.898824,2399.0,60266.0,62665.0,278.0
VNM.26.5_1,HàGiang,HoàngSuPhì,Tỉnh,Huyện,633823823.8259913,1642.0,20609.0,22251.0,35.0
VNM.60.1_1,TuyênQuang,ChiêmHóa,Tỉnh,Huyện,1275370420.6957788,2021.0,32016.0,34037.0,27.0
VNM.38.5_1,LàoCai,LàoCai,Tỉnh,ThànhPhố,226426264.9312622,28674.0,9302.0,37976.0,168.0
VNM.36.5_1,LaiChâu,SìnHồ,Tỉnh,Huyện,1519866071.2108939,1617.0,27161.0,28778.0,19.0
VNM.52.6_1,SơnLa,QuỳnhNhai,Tỉnh,Huyện,1057650076.893415,0.0,21728.0,21728.0,21.0
VNM.52.9_1,SơnLa,SôngMã,Tỉnh,Huyện,1643875183.6921499,1934.0,52934.0,54868.0,33.0
VNM.63.6_1,YênBái,VănChấn,Tỉnh,Huyện,1201430238.9631994,3742.0,45277.0,49019.0,41.0
VNM.56.4_1,TháiNguyên,PhổYên,Tỉnh,ThịXã,259292476.0822938,34728.0,44278.0,79006.0,305.0
VNM.56.5_1,TháiNguyên,PhúBình,Tỉnh,Huyện,240902396.62902445,2505.0,44940.0,47445.0,197.0
VNM.35.1_1,LạngSơn,BắcSơn,Tỉnh,Huyện,699771979.3309554,1277.0,21787.0,23064.0,33.0
VNM.49.5_1,QuảngNinh,ĐầmHà,Tỉnh,Huyện,284956727.0711129,2317.0,11815.0,14132.0,50.0
VNM.44.2_1,PhúThọ,ĐoanHùng,Tỉnh,Huyện,302969638.709851,1704.0,29043.0,30747.0,101.0
VNM.5.4_1,BắcNinh,QuếVõ,Tỉnh,Huyện,154011116.7024457,2767.0,71722.0,74489.0,484.0
VNM.5.7_1,BắcNinh,TiênDu,Tỉnh,Huyện,96368683.33269277,4119.0,65757.0,69876.0,725.0
