ward_id,city,district,ward,city_title,dist_title,ward_title,area_sqm,total,urban,rural,pop_density
VNM.6.2.24_1,BếnTre,BaTri,VĩnhHòa,Tỉnh,Huyện,Xã,7828126.586596469,5180,,5180.0,662.0
VNM.6.9.17_1,BếnTre,ThạnhPhú,ThạnhPhú,Tỉnh,Huyện,ThịTrấn,11462371.132858334,9570,9570.0,,835.0
VNM.6.9.13_1,BếnTre,ThạnhPhú,QuớiĐiền,Tỉnh,Huyện,Xã,15934611.919384917,6449,,6449.0,405.0
VNM.6.9.1_1,BếnTre,ThạnhPhú,AnĐiền,Tỉnh,Huyện,Xã,34616244.81767961,5666,,5666.0,164.0
VNM.6.9.2_1,BếnTre,ThạnhPhú,AnNhơn,Tỉnh,Huyện,Xã,28197446.300507195,5757,,5757.0,204.0
VNM.6.7.5_1,BếnTre,MỏCàyBắc,PhúMỹ,Tỉnh,Huyện,Xã,8896817.20455055,5493,,5493.0,617.0
VNM.6.7.9_1,BếnTre,MỏCàyBắc,TânThànhBình,Tỉnh,Huyện,Xã,17764035.65410546,12902,,12902.0,726.0
VNM.59.9.5_1,TràVinh,TràVinh,4,Tỉnh,ThànhPhố,Phường,1561707.8545883324,9976,9976.0,,6388.0
VNM.59.3.7_1,TràVinh,CàngLong,ĐứcMỹ,Tỉnh,Huyện,Xã,23980672.413331673,10006,,10006.0,417.0
VNM.59.1.5_1,TràVinh,CầuKè,HoàTân,Tỉnh,Huyện,Xã,30874045.085500196,9879,,9879.0,320.0
VNM.59.1.6_1,TràVinh,CầuKè,NinhThới,Tỉnh,Huyện,Xã,22356062.343385573,8829,,8829.0,395.0
VNM.59.7.1_1,TràVinh,TiểuCần,CầuQuan,Tỉnh,Huyện,ThịTrấn,5934976.524422033,8091,8091.0,,1363.0
VNM.59.4.1_1,TràVinh,ChâuThành,ChâuThành,Tỉnh,Huyện,ThịTrấn,3450924.700039208,6102,6102.0,,1768.0
VNM.59.2.7_1,TràVinh,CầuNgang,MỹHòa,Tỉnh,Huyện,Xã,17434613.786540665,8973,,8973.0,515.0
VNM.59.2.6_1,TràVinh,CầuNgang,LongSơn,Tỉnh,Huyện,Xã,31041704.33819847,11411,,11411.0,368.0
VNM.59.8.11_1,TràVinh,TràCú,NgãiXuyên,Tỉnh,Huyện,Xã,19860861.420334015,9501,,9501.0,478.0
VNM.61.7.7_1,VĩnhLong,VĩnhLong,9,Tỉnh,ThànhPhố,Phường,4702497.851331376,12812,12812.0,,2725.0
VNM.61.3.9_1,VĩnhLong,LongHồ,LongPhước,Tỉnh,Huyện,Xã,13251104.792194465,13560,,13560.0,1023.0
VNM.61.4.7_1,VĩnhLong,MangThít,LongMỹ,Tỉnh,Huyện,Xã,6149538.1429099245,5257,,5257.0,855.0
VNM.61.4.4_1,VĩnhLong,MangThít,ChánhAn,Tỉnh,Huyện,Xã,14075963.134032426,7448,,7448.0,529.0
VNM.61.8.17_1,VĩnhLong,VũngLiêm,TrungThành,Tỉnh,Huyện,Xã,14730305.992514405,8409,,8409.0,571.0
VNM.61.5.5_1,VĩnhLong,TamBình,HòaThạnh,Tỉnh,Huyện,Xã,16425964.271577157,8134,,8134.0,495.0
VNM.15.5.4_1,ĐắkLắk,EaH'leo,EaDrăng,Tỉnh,Huyện,ThịTrấn,16322676.524476219,19813,19813.0,,1214.0
VNM.15.14.4_1,ĐắkLắk,M'Đrắk,CưSan,Tỉnh,Huyện,Xã,206792633.10112408,9143,,9143.0,44.0
VNM.53.2.12_1,TâyNinh,ChâuThành,TháiBình,Tỉnh,Huyện,Xã,29741952.021858282,16577,,16577.0,557.0
VNM.25.12.6_1,HồChíMinh,12,TânThớiHiệp,ThànhPhố,Quận,Phường,2615838.347189472,53137,53137.0,,20314.0
