STORE_ID,STORE_NAME,is_winpay,region,city,district,ward,address,concept,status,date_open,date_close,lat,long
6337,6337- WM+ BNH 12-14 Tân Dân,0,North,Bac Ninh,H. Lương Tài,TT. Thứa,"Số 12-14 Tân Dân, Thị Trấn Thứa, Huyện Lương Tài, Tỉnh Bắc Ninh, Việt Nam",Rural,Đang hoạt động,2022-04-30 00:00:00,3000-01-01 00:00:00,21.0177593231201,106.202362060547
3876,"3876- WM+ HNI Thôn Đoài, Kim Nỗ",0,North,Ha Noi,H. Đông Anh,X. Kim Nỗ,"Thôn Đoài, Xã Kim Nỗ, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",Rural,Đang hoạt động,2018-09-05 00:00:00,3000-01-01 00:00:00,21.1284,105.796
2A18,2A18- WM+ BPC 47 Lê Duẩn,0,South,Binh Phuoc,TP. Đồng Xoài,P. Tân Phú,"47 Lê Duẩn, P. Tân Phú, TP. Đồng Xoài, T. Bình Phước",Rural,Đang hoạt động,2023-05-30 00:00:00,3000-01-01 00:00:00,11.5378570556641,106.889266967773
2589,2589- WM+ DNG 71 Lê Hồng Phong,0,Central,Da Nang,Q. Hải Châu,P. Phước Ninh,"71 Lê Hồng Phong, Phường Phước Ninh, Quận Hải Châu, Thành phố Đà Nẵng, Việt Nam",Urban,Đang hoạt động,2016-04-26 00:00:00,3000-01-01 00:00:00,16.0641,108.219
5020,5020- WM+ HNI Số 38 KTĐC Ngô Thì Nhậm,0,North,Ha Noi,Q. Hà Đông,P. La Khê,"38 KTĐC Ngô Thì Nhậm, đường Phan Đình Giót, Phường La Khê, Q. Hà Đông, Thành phố Hà Nội, Việt Nam",Urban,Đang hoạt động,2019-10-12 00:00:00,3000-01-01 00:00:00,20.9657,105.766
2309,2309- WM+ HNI 104C Ngọc Hà,0,North,Ha Noi,Q. Ba Đình,P. Đội Cấn,"Số 104 C phố Ngọc Hà , Phường Đội Cấn, Q. Ba Đình, Thành phố Hà Nội, Việt Nam",Urban,Đang hoạt động,2015-12-30 00:00:00,3000-01-01 00:00:00,21.0367641448975,105.830955505371
6188,6188- WM+ HCM 245B Huỳnh Văn Bánh,0,South,Ho Chi Minh,Q. Phú Nhuận,P. 12,"245B Huỳnh Văn Bánh, P12, Q Phú Nhuận",Urban,Đang hoạt động,2022-01-21 00:00:00,3000-01-01 00:00:00,10.7916603088379,106.676696777344
4768,4768- WM+ TNN 386 Đường Ga,0,North,Thai Nguyen,TP. Thái Nguyên,P. Quang Trung,"386 Đường Ga, Phường Quang Trung, Thành phố Thái Nguyên, Tỉnh Thái Nguyên, Việt Nam",Urban,Đang hoạt động,2019-08-31 00:00:00,3000-01-01 00:00:00,21.5854,105.822
3279,3279- WM+ HNI 207 Lương Thế Vinh,0,North,Ha Noi,Q. Nam Từ Liêm,P. Trung Văn,"Số 207 đường Lương Thế Vinh, Phường Trung Văn, Q. Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",Urban,Đang hoạt động,2018-02-03 00:00:00,3000-01-01 00:00:00,20.9914073944092,105.795791625977
6555,"6555- WM+ QNM 65 Đỗ Đăng Tuyển, Đại Lộc",0,Central,Quang Nam,H. Đại Lộc,TT. Ái Nghĩa,"65 Đỗ Đăng Tuyển, Khu Nghĩa Hiệp, Thị Trấn Ái Nghĩa, Huyện Đại Lộc, Tỉnh Quảng Nam, Việt Nam",Rural,Đang hoạt động,2022-08-31 00:00:00,3000-01-01 00:00:00,15.8802556991577,108.120704650879
5327,5327- WM+ HNI Kiot TM02 Số 50 ngõ 28 Xuân,0,North,Ha Noi,Q. Tây Hồ,P. Xuân La,"TM02, Tầng 1, Dự án Khu nhà ở gia đình cán bộ quân đội Dự án 4-678, số 50 ngõ 28 đường Xuân La, Phường Xuân La, Q. Tây Hồ, Thành phố Hà Nội, Việt Nam",WiN,Đang hoạt động,2019-12-15 00:00:00,3000-01-01 00:00:00,21.0646,105.808
5894,5894- WM+ HDG 263 Minh Tân,0,North,Hai Duong,TX. Kinh Môn,P. Minh Tân,"263 Đường Minh Tân, Phường Minh Tân, Thị xã Kinh Môn, Tỉnh Hải Dương, Việt Nam",Rural,Đang hoạt động,2021-09-30 00:00:00,3000-01-01 00:00:00,21.0386600494385,106.580383300781
3934,3934- WIN HCM 39A - 41 Đường Số 3,0,South,Ho Chi Minh,Q. Thủ Đức,P. Trường Thọ,39A - 41 Đường Số 3 - phường Trường Thọ - quận Thủ Đức - thành phố Hồ Chí Minh - Việt Nam,WiN,Đang hoạt động,2018-11-14 00:00:00,3000-01-01 00:00:00,10.834,106.76
5868,5868- WM+ TNN 602 Dương Tự Minh,0,North,Thai Nguyen,TP. Thái Nguyên,P. Quan Triều,"602 Dương Tự Minh, Phường Quan Triều, Thành phố Thái Nguyên, Tỉnh Thái Nguyên, Việt Nam",Urban,Đang hoạt động,2021-10-07 00:00:00,3000-01-01 00:00:00,21.6106700897217,105.807792663574
2AT8,"2AT8- WM+ NAN Đường Tái Định Cư, Diễn Thà",0,Central,Nghe An,H. Diễn Châu,X.Diễn Thành,"Đường Tái Định Cư, Xóm 5, Xã Diễn Thành, Huyện Diễn Châu, Tỉnh Nghệ An",Rural,Đang hoạt động,2024-05-16 00:00:00,3000-01-01 00:00:00,18.9775581359863,105.602485656738
3977,3977- WM+ HCM 413/39 Lê Văn Quới,0,South,Ho Chi Minh,Q. Bình Tân,P. Bình Trị Đông A,413/39 Lê Văn Quới - KP 5 - phường Bình Trị Đông A - quận Bình Tân - thành phố Hồ Chí Minh - Việt Nam,Urban,Đang hoạt động,2018-11-21 00:00:00,3000-01-01 00:00:00,10.773814201355,106.605735778809
4590,4590- WM+HCM SH11-SH 12 Luxgarden,0,South,Ho Chi Minh,Q. 7,P. Phú Thuận,"SH11 - SH12 tầng 001 tháp (block)B, Dự án chung cư kết hợp Thương mại Dịch vụ số 370 Nguyễn Văn Quỳ, phường Phú Thuận, quận 7, tp HCM",Urban,Đang hoạt động,2019-12-28 00:00:00,3000-01-01 00:00:00,10.738184928894,106.741882324219
2066,2066- WM+ HNI 208L Lê Trọng Tấn,0,North,Ha Noi,Q. Thanh Xuân,P. Khương Mai,"Số 208L Lê Trọng Tấn, Phường Khương Mai, Q. Thanh Xuân, Thành phố Hà Nội, Việt Nam",Urban,Đang hoạt động,2015-09-06 00:00:00,3000-01-01 00:00:00,20.9935111999512,105.831413269043
2241,2241- WM+ HNI B15 Bồ Hỏa – HĐ,0,North,Ha Noi,Q. Hà Đông,P. Hà Cầu,"Lô B15 Khu Bồ Hỏa, Phường Hà Cầu, Q. Hà Đông, Thành phố Hà Nội, Việt Nam",Urban,Đang hoạt động,2015-12-16 00:00:00,3000-01-01 00:00:00,20.9663,105.776
3784,3784- WIN DNG 31 Thành Thái,0,Central,Da Nang,Q. Cẩm Lệ,P. Khuê Trung,"31 Thành Thái, Phường Khuê Trung, Quận Cẩm Lệ, Thành phố Đà Nẵng, Việt Nam",WiN,Đang hoạt động,2018-09-09 00:00:00,3000-01-01 00:00:00,16.0212841033936,108.209465026855
2AT6,"2AT6- WM+ VPC SH4 La Fortuna, Phạm Văn Đồ",0,North,Vinh Phuc,TP. Vĩnh Yên,P. Tích Sơn,"SH4, Chung cư La Fortuna, Đường Phạm Văn Đồng, Phường Tích Sơn, Thành phố Vĩnh Yên, Tỉnh Vĩnh Phúc",Urban,Đang hoạt động,2024-01-21 00:00:00,3000-01-01 00:00:00,21.3114280700684,105.586654663086
6345,6345- WM+ HTH 16 Nguyễn Trung Thiên,0,Central,Ha Tinh,TP. Hà Tĩnh,P. Tân Giang,"16 Nguyễn Trung Thiên, Phường Tân Giang, Thành phố Hà Tĩnh, Tỉnh Hà Tĩnh, Việt Nam",Urban,Đang hoạt động,2022-08-29 00:00:00,3000-01-01 00:00:00,18.3406009674072,105.908821105957
