ward_id,city,district,ward,city_title,dist_title,ward_title,area_sqm,urban_1,urban_2,urban_3,urban_4,urban_5,rural_1_2,rural_3,rural_4,rural_5
VNM.11.10.2_1,BìnhThuận,TuyPhong,ChíCông,Tỉnh,Huyện,Xã,24929474.247876078,,,,,0.0,982.0,966.0,1496.0,1837.0
VNM.32.6.22_1,KhánhHòa,NhaTrang,VĩnhThạnh,Tỉnh,ThànhPhố,Xã,3541922.4837660533,,,,,0.0,733.0,972.0,1435.0,1074.0
VNM.32.3.9_1,KhánhHòa,DiênKhánh,DiênLâm,Tỉnh,Huyện,Xã,73999445.72879244,,,,,0.0,318.0,270.0,383.0,360.0
VNM.50.7.6_1,QuảngTrị,HướngHóa,HướngLộc,Tỉnh,Huyện,Xã,49967831.31482936,,,,,0.0,57.0,65.0,109.0,366.0
VNM.21.3.4_1,GiaLai,ChưPăh,HàTây,Tỉnh,Huyện,Xã,222842803.98005506,,,,,0.0,113.0,120.0,167.0,554.0
VNM.32.8.8_1,KhánhHòa,VạnNinh,VạnPhú,Tỉnh,Huyện,Xã,66791311.33096357,,,,,0.0,938.0,857.0,1044.0,714.0
VNM.21.6.5_1,GiaLai,ChưSê,ChưPơng,Tỉnh,Huyện,Xã,39465589.486214936,,,,,0.0,219.0,204.0,341.0,442.0
VNM.21.11.3_1,GiaLai,IaPa,IaBroăi,Tỉnh,Huyện,Xã,28171380.62809595,,,,,0.0,88.0,152.0,239.0,391.0
VNM.21.16.2_1,GiaLai,PhúThiện,ChrôhPơnan,Tỉnh,Huyện,Xã,20136498.10916427,,,,,0.0,196.0,189.0,300.0,434.0
VNM.15.2.10_1,ĐắkLắk,BuônMaThuột,KhánhXuân,Tỉnh,ThànhPhố,Phường,21998761.306008257,387.0,885.0,1381.0,2035.0,1905.0,0.0,,,0.0
VNM.15.5.10_1,ĐắkLắk,EaH'leo,EaSol,Tỉnh,Huyện,Xã,232161387.32604107,,,,,0.0,468.0,595.0,951.0,1420.0
VNM.15.4.16_1,ĐắkLắk,CưM'gar,QuảngPhú,Tỉnh,Huyện,ThịTrấn,10479094.461331723,297.0,658.0,1009.0,1267.0,1029.0,0.0,,,0.0
